channel,mean,std,score
727,0.0017022562044444445,0.018104011695888888,0.01980626790033333
793,0.002743543081888889,0.023807583464444445,0.026551126546333334
306,0.009472025818594444,0.07649582900933333,0.08596785482792776
223,0.012563677250777778,0.08444844767777779,0.09701212492855557
749,0.017817700504333334,0.09455852503555556,0.1123762255398889
1019,0.01486075765207778,0.09802609353888891,0.1128868511909667
897,0.015445482176444444,0.11129509251555558,0.12674057469200004
820,0.020169304349666666,0.11571985493777781,0.13588915928744447
158,0.016344493096333332,0.12793105995666668,0.144275553053
844,0.030083337744111108,0.11708022149111112,0.14716355923522223
150,0.025500202712177775,0.12447495317222222,0.1499751558844
823,0.025651258725888894,0.12731912483444446,0.15297038356033335
592,0.03558518415055556,0.12893951365111112,0.16452469780166668
447,0.02565170693533333,0.13955431842666666,0.165206025362
509,0.027162374545,0.1385041525477778,0.1656665270927778
674,0.029520840843999998,0.13749152487222221,0.16701236571622222
340,0.022578878913555558,0.14571574369777776,0.16829462261133332
618,0.03564424120033334,0.13839386734999998,0.1740381085503333
41,0.025866314633032662,0.1518907912198111,0.17775710585284377
658,0.034949925777622216,0.14719816769522223,0.18214809347284444
388,0.033223005201111114,0.15164184993333332,0.18486485513444445
315,0.037911574829333335,0.1503767000311111,0.18828827486044442
570,0.02760062307863333,0.16113490955222223,0.18873553263085557
867,0.031412731533333335,0.16107178322444443,0.19248451475777778
244,0.04252700991444444,0.15162247662411113,0.19414948653855557
350,0.04255092306644445,0.15417182111222222,0.19672274417866667
696,0.03518637386877778,0.17021537550444446,0.20540174937322225
797,0.039880792787555554,0.16650836315666667,0.20638915594422222
265,0.040750760030400006,0.16684986329666668,0.2076006233270667
365,0.058358845578444445,0.15639998764444446,0.2147588332228889
372,0.04238086506733333,0.17245258490666665,0.21483344997399997
300,0.039161552621999995,0.17577541729777776,0.21493696991977776
477,0.04194384824822222,0.1759679610277778,0.217911809276
908,0.04074998235255556,0.18196508309555556,0.22271506544811112
688,0.05267554478644444,0.18031328399555555,0.232988828782
11,0.05549950988888889,0.1785599966888889,0.23405950657777777
763,0.04365100764333334,0.1907778268666667,0.23442883451000002
525,0.05421934817633333,0.18740341818111114,0.24162276635744448
89,0.03832672840088889,0.2043648662244445,0.24269159462533338
676,0.04892278870871111,0.19453811862444448,0.2434609073331556
281,0.052781883077222216,0.1971800900977778,0.24996197317500002
602,0.05113309406233332,0.19993647525933333,0.2510695693216667
847,0.04831124761455557,0.20494567140000003,0.2532569190145556
937,0.05174382190888888,0.20309211386666667,0.2548359357755556
589,0.05876455432861112,0.2010222508473333,0.25978680517594444
513,0.05428501348177778,0.20932372051444442,0.2636087339962222
88,0.04728948857788889,0.21679344606222223,0.2640829346401111
389,0.057201378922444444,0.2173313752977778,0.2745327542202222
103,0.05127134420455556,0.2272726042577778,0.2785439484623333
1015,0.05729511189166666,0.22193207581111107,0.2792271877027777
993,0.16603065414444446,0.11611930406666666,0.2821499582111111
215,0.06291408960066666,0.2205816034166667,0.28349569301733335
891,0.06164588898833333,0.22236206783222226,0.2840079568205556
503,0.05479386775111112,0.2307760091222222,0.28556987687333335
91,0.06497878251777779,0.22277367514444443,0.28775245766222224
147,0.05210854908555555,0.2375627283,0.28967127738555554
835,0.06788085251066667,0.22330155470555554,0.29118240721622224
928,0.06317813625011112,0.2354054780633333,0.29858361431344443
166,0.06678683651088889,0.23448910505666667,0.30127594156755555
677,0.07669097382444444,0.2260390543666667,0.3027300281911111
476,0.058785675129777774,0.24458197658888892,0.3033676517186667
191,0.06606158699444445,0.24043237384444444,0.3064939608388889
955,0.08000475785178889,0.22797306869444445,0.30797782654623335
312,0.06137318157633333,0.24681072472777782,0.30818390630411113
966,0.08270733448222221,0.2257733981222222,0.3084807326044444
43,0.0960039321017778,0.2148792729444444,0.3108832050462222
181,0.06181017972833333,0.24951485742666668,0.31132503715500004
309,0.06219460445588888,0.24965970359444442,0.3118543080503333
427,0.07070993741488889,0.2434135529555556,0.3141234903704445
648,0.08853693247777776,0.2324215036222222,0.32095843609999997
810,0.061190814649999994,0.2640444505944445,0.32523526524444446
106,0.059582626337277775,0.26805749558,0.3276401219172778
802,0.07668466436877777,0.25360995157999994,0.33029461594877774
564,0.06718107794888889,0.26349308788888887,0.33067416583777776
416,0.07194261227388889,0.2587565840188889,0.3306991962927778
837,0.07574165760955555,0.2564141947844445,0.33215585239400003
565,0.0765543684858889,0.25737540816222226,0.3339297766481112
165,0.08703154251211112,0.25025896202666664,0.33729050453877774
1008,0.07806751419555555,0.2607585152244445,0.33882602942000006
849,0.092918536393,0.24861907455333332,0.34153761094633334
799,0.07026095698477777,0.2727824537655555,0.3430434107503333
548,0.09639276080888888,0.24997586397777777,0.34636862478666663
168,0.08471564601544444,0.2637074868611112,0.34842313287655563
452,0.06993398386933335,0.28003005347222226,0.3499640373415556
939,0.07296648074511111,0.27738448555555556,0.35035096630066664
76,0.086024478218,0.2712592963111111,0.3572837745291111
226,0.10524495988333336,0.25390123,0.35914618988333336
853,0.0875874181838889,0.27240813713222223,0.35999555531611116
450,0.08135760380133333,0.28357923744444447,0.3649368412457778
319,0.09182292771666667,0.2737748619222223,0.36559778963888895
130,0.09727773003666668,0.2689000061111111,0.36617773614777777
634,0.08527690151444445,0.28093130222222223,0.3662082037366667
299,0.07476536728022223,0.2930163349666666,0.3677817022468889
617,0.08114531154111111,0.28708110224111116,0.36822641378222226
98,0.08874458481300002,0.27968393940833336,0.3684285242213334
482,0.0706872041511111,0.2978280298222222,0.3685152339733333
864,0.08942596643777778,0.27912763603555557,0.36855360247333335
346,0.08734501458283334,0.2825233318988889,0.36986834648172223
105,0.08110231693355556,0.29402404593666664,0.3751263628702222
931,0.09640103598993333,0.2789099839122222,0.37531101990215554
10,0.09728804049333332,0.28015877715555554,0.3774468176488889
673,0.10947134461922223,0.2693928748755556,0.3788642194947778
907,0.09177252906555557,0.2874606952,0.37923322426555556
70,0.09358785819077775,0.28783817203111106,0.3814260302218888
533,0.09793296401755554,0.28398891721999997,0.3819218812375555
247,0.08460989299000002,0.2986156343222222,0.38322552731222226
345,0.09776675319888888,0.28564499213333333,0.3834117453322222
412,0.0977711786688889,0.2856728248611111,0.38344400353
355,0.09753511625666668,0.2873167648777778,0.38485188113444446
145,0.0813483500611111,0.30453075035555555,0.3858791004166666
657,0.06536349574111111,0.32104912778888894,0.38641262353000005
283,0.08609416557977778,0.30265895406444443,0.3887531196442222
415,0.08959425939022223,0.3001670636037778,0.389761322994
208,0.08691282932611112,0.30341120227555557,0.3903240316016667
833,0.11089923615522221,0.2818390388222222,0.3927382749774444
386,0.0930749999977778,0.3004897430444444,0.3935647430422222
321,0.0935763337922222,0.30411212118888886,0.39768845498111105
170,0.11243400271666666,0.28704327564444443,0.3994772783611111
408,0.12476167182888892,0.27602569582222225,0.40078736765111117
788,0.08788077860999999,0.3135021164111111,0.4013828950211111
421,0.10478238227444445,0.29766186868888883,0.40244425096333325
419,0.08540423626666667,0.3173840440888889,0.40278828035555553
511,0.11779055886111113,0.28640476572222223,0.40419532458333335
888,0.11903863917777778,0.2884416199222222,0.4074802591
682,0.10739772128222223,0.3011783247888889,0.40857604607111114
733,0.08890491442953334,0.32151841388511115,0.4104233283146445
28,0.09377747582666666,0.3166855776888889,0.41046305351555556
369,0.09686842686444447,0.31810318649,0.4149716133544445
830,0.11293500188888889,0.3055758501666667,0.4185108520555556
109,0.11636227785666665,0.30300682492222214,0.4193691027788888
807,0.10290057609433334,0.3168342927155556,0.4197348688098889
216,0.11270351167777777,0.30956562711111113,0.4222691387888889
288,0.10601347452444444,0.3165745705555556,0.42258804508000003
366,0.10185624579511111,0.3208074777244444,0.4226637235195555
332,0.09384077975888885,0.3309139585777778,0.42475473833666666
819,0.11875599271488889,0.3079605984066666,0.4267165911215555
267,0.11305309806666669,0.31686175707777775,0.42991485514444444
195,0.10631175463866668,0.3252528343222222,0.4315645889608889
770,0.10496257437777778,0.33039031244444445,0.43535288682222223
179,0.10635959109955558,0.3331496417333334,0.43950923283288895
896,0.13756084897177778,0.30250057787777773,0.4400614268495555
132,0.1330012348,0.3104854647,0.44348669949999997
501,0.11645758393333333,0.32935707099999995,0.4458146549333333
497,0.12942590527666667,0.3193561455111111,0.4487820507877778
45,0.11377791320666665,0.3361975901,0.44997550330666664
938,0.13856227666777776,0.311870090911111,0.45043236757888877
377,0.09528924541277778,0.35662872028888887,0.45191796570166665
188,0.13138910628422223,0.3209138583111112,0.4523029645953334
432,0.10488281312222224,0.3475928993666667,0.45247571248888896
15,0.10508974068222222,0.3475049285444444,0.45259466922666663
569,0.13270033387777777,0.32137129504444445,0.4540716289222222
817,0.11412071982488889,0.34144098689888885,0.4555617067237777
537,0.1111016423,0.3446184671222222,0.4557201094222222
962,0.11659097713444445,0.3395062613333334,0.45609723846777783
737,0.10633378812688889,0.3532472416337778,0.45958102976066667
353,0.14439571815444444,0.31745692238888884,0.4618526405433333
812,0.11572903421222222,0.34631634691444446,0.4620453811266667
959,0.11955798763522221,0.3431081369,0.46266612453522227
78,0.11644615917777779,0.35115424956666674,0.46760040874444453
31,0.0926285156211111,0.3789157432733333,0.4715442588944444
135,0.2116803660477778,0.2606062716733334,0.4722866377211112
976,0.11146721973266668,0.3609359064433333,0.472403126176
303,0.09591260533499998,0.3770895498222222,0.4730021551572222
75,0.11611221648111111,0.35936918459999995,0.47548140108111103
633,0.10487385223333333,0.3724127496222222,0.47728660185555555
392,0.09385821427555556,0.3844537216444445,0.4783119359200001
624,0.13052325776655554,0.3479146689933333,0.47843792675988883
730,0.11980435054582222,0.3595991929511111,0.4794035434969333
622,0.12341363378666667,0.3601131884911111,0.48352682227777777
619,0.14105798467555555,0.3453444566555555,0.4864024413311111
495,0.1411197226888889,0.34688393254444444,0.48800365523333333
344,0.14367084134000002,0.34556437368888887,0.4892352150288889
972,0.12154783900433334,0.36793947721555553,0.4894873162198889
668,0.12305103518888891,0.37067200585111104,0.49372304104
261,0.12447591738738889,0.3693431766766667,0.4938190940640556
642,0.11532829820388889,0.3810239208,0.49635221900388893
944,0.09187018575066667,0.40520547524777784,0.4970756609984445
285,0.12239700406666666,0.37604262450000003,0.4984396285666667
322,0.10626215849111112,0.3932781532555555,0.4995403117466666
282,0.12482521813888887,0.37587582872222214,0.500701046861111
138,0.14059727811777778,0.36112525298888887,0.5017225311066666
800,0.13938219084444448,0.3645226631555555,0.503904854
161,0.1218524511864,0.3824742066672222,0.5043266578536222
662,0.14338445234166666,0.3611049970444444,0.5044894493861111
146,0.11748153055888887,0.3874510290666666,0.5049325596255555
910,0.12227344801377778,0.38335215703333336,0.5056256050471112
524,0.1442168053002222,0.36428718104999996,0.5085039863502222
690,0.12762027919444444,0.3814496614888889,0.5090699406833333
229,0.11621998738000001,0.3943608506555556,0.5105808380355557
414,0.14024125312111113,0.3705911339222222,0.5108323870433333
964,0.1338269217666667,0.3833816632222223,0.517208584988889
113,0.14557118963111113,0.3733501432333333,0.5189213328644444
780,0.13395334847377777,0.3859601822111111,0.5199135306848889
460,0.11836453918888891,0.4015748640111112,0.5199394032000001
27,0.1182912543722222,0.40266896068,0.5209602150522222
311,0.12663823106844443,0.3954296018922222,0.5220678329606666
418,0.1308440591066667,0.3915526264666666,0.5223966855733333
809,0.09557858993063334,0.4273084274494445,0.5228870173800778
769,0.13016192084800002,0.39297056994,0.5231324907880001
71,0.11900515003466669,0.40553103441444444,0.5245361844491111
79,0.14776945757111112,0.38163530352222225,0.5294047610933333
335,0.14286665627955553,0.39153199266555555,0.5343986489451111
133,0.15350653041011111,0.3841973831111112,0.5377039135212223
610,0.17710385947666668,0.36208175963333333,0.53918561911
292,0.13386861368222222,0.4060302159300001,0.5398988296122224
271,0.15213739113333336,0.3923645052777778,0.5445018964111111
124,0.14375749823666664,0.4029729516888889,0.5467304499255555
487,0.14797307267955556,0.3993973604877778,0.5473704331673334
67,0.14352474031222223,0.40530307033333346,0.5488278106455557
445,0.1600020922666667,0.3894348919777778,0.5494369842444445
206,0.1262852685622222,0.4241924716222223,0.5504777401844445
112,0.13685816197999998,0.4155200046111111,0.552378166591111
935,0.13678827589999998,0.41581890479111105,0.552607180691111
861,0.17876133681222225,0.37874383373888887,0.5575051705511112
856,0.16186747022222223,0.39610875994444444,0.5579762301666666
590,0.18316622752888886,0.37527078311444445,0.5584370106433333
885,0.1812969201677778,0.3779201407222222,0.55921706089
863,0.14489959804,0.41678233307777773,0.5616819311177778
95,0.15040942696111112,0.41297011573333325,0.5633795426944443
81,0.16124245288922223,0.40353344247777784,0.5647758953670001
464,0.1308296050052222,0.43405912268222224,0.5648887276874445
789,0.17225121347777775,0.3931187667,0.5653699801777777
68,0.15567727318666666,0.41047477942222227,0.5661520526088889
57,0.16587016388755554,0.40216173618444445,0.568031900072
748,0.1527984655538889,0.4165226476,0.5693211131538889
331,0.18611261506333332,0.38342729464444447,0.5695399097077778
948,0.1658906980758889,0.4048839454222222,0.5707746434981111
148,0.15150806315555557,0.4206417957777778,0.5721498589333334
358,0.19810539519888887,0.37503503508888886,0.5731404302877777
523,0.1665239678888889,0.40726664174444444,0.5737906096333334
587,0.18569606271111114,0.3885894412222222,0.5742855039333333
920,0.2120600398777778,0.3622518027222223,0.5743118426000001
496,0.1920711042555556,0.38561450944444453,0.5776856137000002
886,0.1136865049468889,0.46488094689244447,0.5785674518393333
30,0.14700071595555556,0.4328738315666667,0.5798745475222222
289,0.13809893037311557,0.4423536052823333,0.5804525356554489
73,0.16147306095,0.41946130766666667,0.5809343686166667
608,0.1569263599664444,0.42580525188888885,0.5827316118553333
615,0.14266664225555556,0.44193403415555543,0.584600676411111
860,0.1451152078611111,0.4399939239333333,0.5851091317944443
764,0.14981937380000002,0.43582733044444444,0.5856467042444444
529,0.13388914535951113,0.45178541967711106,0.5856745650366222
744,0.1326248612988889,0.45848309978888885,0.5911079610877777
400,0.13868250837777776,0.45264573671111114,0.5913282450888889
877,0.15828682497777777,0.4339694928888889,0.5922563178666667
904,0.1710405322222222,0.42250706428888885,0.593547596511111
456,0.15861345175555555,0.4353532834666667,0.5939667352222222
26,0.17405726614166667,0.4205343203811111,0.5945915865227778
994,0.1502779795222222,0.44554013575555546,0.5958181152777776
902,0.15781655742222223,0.43934874451111106,0.5971653019333333
646,0.15607927731111113,0.4416287642888889,0.5977080416
154,0.187256303823,0.41899248362111113,0.6062487874441111
726,0.16708185983688886,0.43943811671555555,0.6065199765524444
932,0.17860159504444448,0.4282372146666666,0.606838809711111
36,0.16110942963333333,0.44634169797777773,0.6074511276111111
917,0.17742786421433335,0.4303731559044444,0.6078010201187778
643,0.1728676082307778,0.4350693644222222,0.607936972653
553,0.1871436154002222,0.42212164064444446,0.6092652560446666
558,0.16777030605555557,0.4418102167777778,0.6095805228333334
413,0.19977931212888886,0.4108260195,0.6106053316288889
473,0.1818715278077778,0.43094007177777777,0.6128115995855555
417,0.14491300701666668,0.4690144145666667,0.6139274215833334
224,0.16596389987777777,0.4480534389333333,0.6140173388111111
661,0.22732181263333334,0.39059182488888894,0.6179136375222223
747,0.17558253020666667,0.44303321766666665,0.6186157478733333
704,0.18088512666022222,0.43849583412666665,0.6193809607868889
826,0.21796263848888886,0.4014261292888889,0.6193887677777777
824,0.18793672335555556,0.43266782238888885,0.6206045457444445
324,0.14308508552222224,0.47765368699999994,0.6207387725222222
463,0.17431345289,0.45290619249999997,0.62721964539
458,0.17879111991377777,0.4504926640466666,0.6292837839604444
804,0.16243585386777779,0.46764429453333334,0.6300801484011112
270,0.1749930236277778,0.4557073027222222,0.63070032635
848,0.15348765393544445,0.47761837304999993,0.6311060269854444
375,0.1873665633944445,0.4471613019222222,0.6345278653166667
616,0.16704056806666667,0.4677903604444444,0.6348309285111111
211,0.16770460552000002,0.46778384708888887,0.6354884526088889
205,0.18607290828666667,0.44968731623333336,0.63576022452
580,0.17714489176333334,0.46143927673333335,0.6385841684966667
699,0.17165917726666668,0.4699478426666667,0.6416070199333335
644,0.18139163927555557,0.4626078075977777,0.6439994468733332
4,0.1863246211397778,0.45772719006444446,0.6440518112042223
591,0.16824844512222223,0.47582698861111106,0.6440754337333333
200,0.18803353936666667,0.4588512766,0.6468848159666667
139,0.23660930961111118,0.412640310111111,0.6492496197222222
230,0.18966157699777778,0.46311965083333334,0.6527812278311111
883,0.27272659642222224,0.3801397200555556,0.6528663164777778
383,0.19096198420444443,0.4662115095888889,0.6571734937933333
614,0.2034508132111111,0.45400271871111103,0.6574535319222221
510,0.165194054255,0.4962302677977778,0.6614243220527778
239,0.21052660929111108,0.45132713574444444,0.6618537450355555
698,0.19303747892888887,0.47206401722222224,0.6651014961511111
522,0.18732061277777778,0.47806396393333334,0.6653845767111111
900,0.18535723946666668,0.48555329323333335,0.6709105327
873,0.20582967942555552,0.46824553626666665,0.6740752156922222
538,0.23053946461888894,0.4436080154666666,0.6741474800855556
919,0.16842833602222224,0.5063598343333334,0.6747881703555556
286,0.1931696386508889,0.48721972563888893,0.6803893642897778
625,0.17287090296333332,0.5105924969777778,0.683463399941111
840,0.15136018277055555,0.5358453996300001,0.6872055824005556
915,0.23015189655555557,0.4608350614444444,0.690986958
437,0.23438146286444442,0.4573756225555555,0.6917570854199999
828,0.22176781247111113,0.4702053944888888,0.69197320696
578,0.22192910761111115,0.4711680012222223,0.6930971088333334
854,0.15237118315555556,0.5411212794444444,0.6934924626
343,0.1914367579777778,0.5021813042777777,0.6936180622555556
