,0
support_mean_c629,4.936515964444445
support_mean_c518,3.763653853333334
support_mean_c241,2.9253094111111118
support_mean_c461,2.320273546666667
support_mean_c406,2.2566001043333332
support_mean_c546,2.140797568111111
support_mean_c196,2.0236793586666666
support_mean_c333,1.9387485860222222
support_mean_c785,1.9163301147777778
support_mean_c86,1.7697599457777782
support_mean_c621,1.765566513666667
support_mean_c982,1.749905830777778
support_mean_c126,1.7117006644444444
support_mean_c936,1.691609001222222
support_mean_c182,1.6803300265111112
support_mean_c821,1.6636077746666669
support_mean_c866,1.6602332053333333
support_mean_c695,1.643953910333333
support_mean_c697,1.6433799969999998
support_mean_c512,1.643121168888889
support_mean_c952,1.607937719111111
support_mean_c69,1.6069591265555554
support_mean_c672,1.5931073157777775
support_mean_c612,1.5920383427777778
support_mean_c756,1.5553982823333332
support_mean_c297,1.5276398916666665
support_mean_c827,1.5061226909999996
support_mean_c739,1.4783414391111112
support_mean_c649,1.4752918948888891
support_mean_c209,1.4648808306666663
support_mean_c750,1.4420893646333335
support_mean_c23,1.430810499111111
support_mean_c249,1.4290059839333331
support_mean_c302,1.3997494641111112
support_mean_c975,1.3735742996111109
support_mean_c198,1.3677842892222223
support_mean_c162,1.359215928888889
support_mean_c248,1.3527069484444445
support_mean_c407,1.3514333306666666
support_mean_c225,1.3402012475555556
support_mean_c110,1.3092501052222223
support_mean_c269,1.3029216733333333
support_mean_c556,1.295549170888889
support_mean_c220,1.2948449686666665
support_mean_c803,1.291318642888889
support_mean_c221,1.290422271666667
support_mean_c436,1.2838958928888888
support_mean_c6,1.26747181
support_mean_c397,1.2586017122222222
support_mean_c403,1.2450615476666667
support_mean_c586,1.2417304332777777
support_mean_c882,1.2409926175111112
support_mean_c870,1.2405562974444446
support_mean_c626,1.238561544222222
support_mean_c1016,1.2375525429999998
support_mean_c1011,1.2370664855555558
support_mean_c898,1.2322463985999998
support_mean_c143,1.2280108118888888
support_mean_c930,1.2141383636666667
support_mean_c772,1.2133113684444443
support_mean_c1014,1.1981179138888889
support_mean_c719,1.1938088616666667
support_mean_c351,1.1924526712555557
support_mean_c678,1.1868678680888889
support_mean_c449,1.1867449865555557
support_mean_c19,1.1862683517333332
support_mean_c304,1.166429902111111
support_mean_c543,1.1456628076666666
support_mean_c149,1.1450835083333335
support_mean_c242,1.1404194418888889
support_mean_c56,1.137040372888889
support_mean_c903,1.1311663944444446
support_mean_c163,1.1223950539999998
support_mean_c387,1.1151046057777778
support_mean_c715,1.1086940274444443
support_mean_c500,1.1021234853333333
support_mean_c85,1.100385658788889
support_mean_c65,1.0941354663333334
support_mean_c1009,1.09314072
support_mean_c754,1.0894716037777779
support_mean_c752,1.083298457333333
support_mean_c650,1.081298958
support_mean_c557,1.0758375945555554
support_mean_c738,1.0720803017777778
support_mean_c434,1.0647730752222222
support_mean_c465,1.0628584399999998
support_mean_c1020,1.0608463678888889
support_mean_c1007,1.0569856092222223
support_mean_c440,1.0549141694444444
support_mean_c360,1.0462881243333333
support_mean_c185,1.0376579573111113
support_mean_c354,1.0294854829888889
support_mean_c327,1.0293475123288889
support_mean_c137,1.025971096
support_mean_c307,1.0171667893333334
support_mean_c167,1.0151049447777776
support_mean_c347,1.0134527349888889
support_mean_c520,1.0075308228333335
support_mean_c880,1.007192577888889
support_mean_c378,1.00543361
support_mean_c80,0.9968480081111111
support_mean_c474,0.9961642784444444
support_mean_c236,0.9956238436444443
support_mean_c929,0.9938192097777778
support_mean_c1002,0.9933837931111111
support_mean_c901,0.9928965443333333
support_mean_c466,0.9876771441111111
support_mean_c575,0.9815704475555557
support_mean_c816,0.9811900432777779
support_mean_c8,0.9731231113166667
support_mean_c540,0.956983492827778
support_mean_c156,0.9563612492222222
support_mean_c491,0.9548671158888891
support_mean_c784,0.9525117446666667
support_mean_c481,0.9480122812222223
support_mean_c632,0.9467892095555556
support_mean_c792,0.9408283293333335
support_mean_c855,0.939079207111111
support_mean_c326,0.9364537392222222
support_mean_c667,0.9324605872222221
support_mean_c953,0.9310541435555556
support_mean_c22,0.9308051712222222
support_mean_c811,0.9275728199444445
support_mean_c152,0.9263538796666666
support_mean_c925,0.9259770295555555
support_mean_c457,0.9247440885555556
support_mean_c652,0.9213335142222222
support_mean_c532,0.9199750655266666
support_mean_c582,0.9058444917777778
support_mean_c620,0.9012786506666667
support_mean_c189,0.8994230694444444
support_mean_c568,0.8928427115555555
support_mean_c743,0.8880394692666665
support_mean_c227,0.8856611557333331
support_mean_c193,0.8849211318222223
support_mean_c127,0.8846521378888889
support_mean_c100,0.8846363913333332
support_mean_c1021,0.8841238784444444
support_mean_c527,0.8838005342222223
support_mean_c374,0.8761189682222222
support_mean_c446,0.8759689976111115
support_mean_c651,0.8704558406666667
support_mean_c563,0.8699791598888889
support_mean_c686,0.8686754986666666
support_mean_c515,0.8630429580555555
support_mean_c214,0.8580514680000003
support_mean_c881,0.8579015213333333
support_mean_c613,0.8562910848333333
support_mean_c759,0.8424597535555554
support_mean_c442,0.839621706611111
support_mean_c985,0.8382574611111112
support_mean_c164,0.8332988039888889
support_mean_c771,0.8329194946666669
support_mean_c943,0.8328314366666667
support_mean_c572,0.8253781167777777
support_mean_c757,0.8239747693333332
support_mean_c779,0.8216385166666669
support_mean_c841,0.8191894196
support_mean_c453,0.8150301465555556
support_mean_c725,0.8110374398888889
support_mean_c213,0.8108932558888889
support_mean_c506,0.8101622339000002
support_mean_c425,0.8099505724444446
support_mean_c623,0.8052143432222222
support_mean_c294,0.8031159683777778
support_mean_c970,0.8024708965555555
support_mean_c865,0.7974768594444445
support_mean_c711,0.7953745928433333
support_mean_c1023,0.7915249106666665
support_mean_c62,0.7825056405555554
support_mean_c485,0.7771181445555557
support_mean_c264,0.7741460640000001
support_mean_c947,0.7719770096666667
support_mean_c502,0.7649828778444443
support_mean_c484,0.7638878134444445
support_mean_c876,0.7618413858888888
support_mean_c435,0.7613415174744443
support_mean_c712,0.7579404605555555
support_mean_c984,0.7550970416666666
support_mean_c272,0.7537305777777777
support_mean_c475,0.750846688888889
support_mean_c284,0.7507995160555555
support_mean_c728,0.7507633295555555
support_mean_c997,0.7506427866555556
support_mean_c423,0.7500486181111112
support_mean_c479,0.7478300866666667
support_mean_c694,0.7452666917777778
support_mean_c971,0.7434454003244446
support_mean_c197,0.7425359025555557
support_mean_c519,0.7407158036666668
support_mean_c18,0.7396094486666667
support_mean_c775,0.7385855167777778
support_mean_c391,0.7378515751666667
support_mean_c385,0.7348097931111109
support_mean_c96,0.7347168851111111
support_mean_c24,0.7337097157888888
support_mean_c664,0.7336756375244445
support_mean_c108,0.7320156379444442
support_mean_c172,0.7298856898888889
support_mean_c808,0.728807785888889
support_mean_c740,0.7281340964444444
support_mean_c361,0.7266696218222222
support_mean_c298,0.7230602515555555
support_mean_c577,0.7197793909444445
support_mean_c766,0.7191985211999999
support_mean_c979,0.7173840335555555
support_mean_c44,0.7156018143333334
support_mean_c940,0.7152672351666667
support_mean_c171,0.7152450756111111
support_mean_c178,0.7143748936777778
support_mean_c77,0.7128037463444444
support_mean_c765,0.7093290145444445
support_mean_c583,0.7079066911111112
support_mean_c61,0.7066037412666667
support_mean_c273,0.7010665262055557
support_mean_c637,0.7003850392666666
support_mean_c561,0.6976697521755556
support_mean_c363,0.6967527091111112
support_mean_c235,0.6936963003277778
support_mean_c382,0.6934112367999999
support_mean_c144,0.693232423
support_mean_c140,0.6925357598888889
support_mean_c362,0.6915485427777779
support_mean_c504,0.6831791816666667
support_mean_c52,0.6807586910000001
support_mean_c968,0.6784512587000001
support_mean_c301,0.678257239111111
support_mean_c210,0.6746850338666667
support_mean_c595,0.6733504765999999
support_mean_c988,0.6730334038000001
support_mean_c444,0.6728880627777778
support_mean_c834,0.672636177988889
support_mean_c494,0.6700129492222223
support_mean_c717,0.6675845730111111
support_mean_c160,0.6666232083377778
support_mean_c606,0.6649989112111112
support_mean_c34,0.6626167405555555
support_mean_c222,0.6624903226666666
support_mean_c732,0.6624063662222223
support_mean_c895,0.6601955771333334
support_mean_c120,0.6588012504999999
support_mean_c381,0.6557479953444445
support_mean_c603,0.6546828679777777
support_mean_c455,0.6526493328
support_mean_c401,0.6515590897888889
support_mean_c1013,0.6510998305333333
support_mean_c1,0.6510885782444445
support_mean_c969,0.6500429301222221
support_mean_c405,0.6454008290555555
support_mean_c794,0.6451245661666667
support_mean_c190,0.6374136947222222
support_mean_c528,0.6365712031555556
support_mean_c320,0.6352577185
support_mean_c951,0.6318615836666667
support_mean_c813,0.6317336391111111
support_mean_c262,0.6316002586555556
support_mean_c665,0.6297320554444444
support_mean_c798,0.6252620155155555
support_mean_c601,0.6233131099222221
support_mean_c48,0.6224956194444444
support_mean_c364,0.6194045690000001
support_mean_c663,0.6174076869555555
support_mean_c371,0.6085176843333334
support_mean_c776,0.6076404570333334
support_mean_c451,0.6063551329888889
support_mean_c118,0.6042230172222223
support_mean_c630,0.6017714530483333
support_mean_c310,0.60157813595
support_mean_c280,0.6007103438888889
support_mean_c1004,0.597996166
support_mean_c516,0.5946188856611111
support_mean_c101,0.5930319098077779
support_mean_c713,0.5923455182888889
support_mean_c998,0.5921943012222222
support_mean_c550,0.5916954007777777
support_mean_c960,0.5902483916666666
support_mean_c946,0.5884825054444445
support_mean_c923,0.5883151809333333
support_mean_c287,0.5876865916222223
support_mean_c359,0.5872723636811111
support_mean_c336,0.5817057705055555
support_mean_c204,0.5795295022444444
support_mean_c539,0.5789028502222222
support_mean_c228,0.5728796514
support_mean_c778,0.5715074555555556
support_mean_c243,0.57079421543
support_mean_c323,0.5641819276666667
support_mean_c829,0.5637800670777777
support_mean_c274,0.5583229486777778
support_mean_c505,0.5572582321999999
support_mean_c219,0.5556228049
support_mean_c950,0.555506199
