,mean,std
support_mean_c1,0.6510885782444445,
support_mean_c100,0.8846363913333332,
support_mean_c1000,0.4601569904588889,
support_mean_c1002,0.9933837931111111,
support_mean_c1003,0.42390276387777776,
support_mean_c1004,0.597996166,
support_mean_c1006,0.5368025140555557,
support_mean_c1007,1.0569856092222223,
support_mean_c1009,1.09314072,
support_mean_c101,0.5930319098077779,
support_mean_c1011,1.2370664855555558,
support_mean_c1012,0.4831751489700001,
support_mean_c1013,0.6510998305333333,
support_mean_c1014,1.1981179138888889,
support_mean_c1016,1.2375525429999998,
support_mean_c1020,1.0608463678888889,
support_mean_c1021,0.8841238784444444,
support_mean_c1023,0.7915249106666665,
support_mean_c107,0.4558325479777778,
support_mean_c108,0.7320156379444442,
support_mean_c110,1.3092501052222223,
support_mean_c115,0.48200715110666664,
support_mean_c118,0.6042230172222223,
support_mean_c12,0.43934145814666664,
support_mean_c120,0.6588012504999999,
support_mean_c126,1.7117006644444444,
support_mean_c127,0.8846521378888889,
support_mean_c13,0.4131976841444444,
support_mean_c131,0.5347282966666667,
support_mean_c134,0.37008550105555554,
support_mean_c137,1.025971096,
support_mean_c14,0.39007579116666663,
support_mean_c140,0.6925357598888889,
support_mean_c142,0.4299035154222222,
support_mean_c143,1.2280108118888888,
support_mean_c144,0.693232423,
support_mean_c149,1.1450835083333335,
support_mean_c151,0.3668436881222222,
support_mean_c152,0.9263538796666666,
support_mean_c153,0.49693767036666664,
support_mean_c156,0.9563612492222222,
support_mean_c157,0.5479920179222222,
support_mean_c160,0.6666232083377778,
support_mean_c162,1.359215928888889,
support_mean_c163,1.1223950539999998,
support_mean_c164,0.8332988039888889,
support_mean_c167,1.0151049447777776,
support_mean_c169,0.4865048659777778,
support_mean_c17,0.4304471461444444,
support_mean_c171,0.7152450756111111,
support_mean_c172,0.7298856898888889,
support_mean_c174,0.5495999159999999,
support_mean_c178,0.7143748936777778,
support_mean_c18,0.7396094486666667,
support_mean_c182,1.6803300265111112,
support_mean_c183,0.4127830773111111,
support_mean_c185,1.0376579573111113,
support_mean_c187,0.45524768724888887,
support_mean_c19,1.1862683517333332,
support_mean_c190,0.6374136947222222,
support_mean_c192,0.5086030115555555,
support_mean_c193,0.8849211318222223,
support_mean_c194,0.4540075498444444,
