,0
support_std_c518,2.7502203088888892
support_std_c241,2.507354544444444
support_std_c953,2.1977280511111115
support_std_c629,2.134699762222222
support_std_c69,2.0734326915555554
support_std_c86,1.9547616827777778
support_std_c406,1.9386674726666664
support_std_c785,1.9003113028888894
support_std_c182,1.8523120564444444
support_std_c196,1.8501848014444444
support_std_c621,1.8359900573333332
support_std_c695,1.7837941544444447
support_std_c672,1.7499593877777777
support_std_c750,1.7057009846666666
support_std_c23,1.698079082666667
support_std_c546,1.6906385544444444
support_std_c333,1.6816053216999995
support_std_c882,1.679655500777778
support_std_c936,1.6502835871111112
support_std_c436,1.6489034256666666
support_std_c225,1.640694826
support_std_c126,1.6376705055555552
support_std_c1007,1.636259248444444
support_std_c975,1.6323053400444445
support_std_c56,1.6240797193333334
support_std_c249,1.6227703232222224
support_std_c143,1.616243553111111
support_std_c1011,1.6123362444444445
support_std_c19,1.6117777137777778
support_std_c772,1.6073421686666665
support_std_c248,1.5953798065555558
support_std_c930,1.5813433041111113
support_std_c302,1.5728739016666664
support_std_c612,1.5598583306666671
support_std_c110,1.5323763266666666
support_std_c242,1.5152102855555556
support_std_c269,1.5101041341111108
support_std_c80,1.4943337937777779
support_std_c407,1.4861373715555553
support_std_c719,1.4832208628888888
support_std_c198,1.4817344206666667
support_std_c556,1.4803176684444443
support_std_c351,1.4747162690555558
support_std_c626,1.4670967519999998
support_std_c982,1.4602758811111112
support_std_c1016,1.4555447154444443
support_std_c185,1.455382294
support_std_c827,1.4460729663333332
support_std_c898,1.4427140634444444
support_std_c903,1.441617133222222
support_std_c586,1.4384499585555555
support_std_c756,1.4356216915555555
support_std_c85,1.4315502329111114
support_std_c870,1.4230590781111112
support_std_c167,1.4076464293333333
support_std_c209,1.4020643314444445
support_std_c743,1.4014547653333336
support_std_c403,1.4012181705555555
support_std_c236,1.3928524144444445
support_std_c512,1.389467707777778
support_std_c65,1.3748826693333334
support_std_c739,1.366118355888889
support_std_c715,1.3608248583333333
support_std_c1002,1.3580185415555555
support_std_c164,1.355010839888889
support_std_c678,1.352394147888889
support_std_c985,1.3409799056666667
support_std_c663,1.3288008637666666
support_std_c1020,1.3266279026666665
support_std_c1009,1.3140999353333334
support_std_c220,1.313395842
support_std_c532,1.3107888765888889
support_std_c738,1.3090594376666667
support_std_c620,1.3073512482222223
support_std_c970,1.3073156555555554
support_std_c491,1.3070063315555556
support_std_c527,1.290871309
support_std_c163,1.281852893
support_std_c297,1.2761544407777776
support_std_c543,1.2759581137777778
support_std_c461,1.2727885989999999
support_std_c1014,1.2704919347777777
support_std_c327,1.2676047192777777
support_std_c667,1.2658880917777777
support_std_c520,1.2654259556666665
support_std_c752,1.258693746111111
support_std_c127,1.2586229114444445
support_std_c506,1.2571300722666667
support_std_c397,1.2554921968888888
support_std_c650,1.2490866842222224
support_std_c841,1.2486566362222222
support_std_c988,1.2414423834888888
support_std_c515,1.2413387713333335
support_std_c740,1.2384099187777777
support_std_c816,1.2356797031111113
support_std_c222,1.2354669437777779
support_std_c301,1.2314984116666667
support_std_c652,1.2306894307777776
support_std_c697,1.228358312
support_std_c435,1.2275300214444445
support_std_c713,1.221309488222222
support_std_c178,1.2143900072222222
support_std_c137,1.2111049963333334
support_std_c304,1.2110034564444445
support_std_c881,1.2098669105555555
support_std_c354,1.206555008511111
support_std_c865,1.201531603222222
support_std_c307,1.1960358093333334
support_std_c784,1.195463996111111
support_std_c213,1.1933087212222224
support_std_c221,1.1930063144444445
support_std_c575,1.1920185473333336
support_std_c298,1.1906087680000002
support_std_c540,1.1903048967444445
support_std_c434,1.1903033625555555
support_std_c519,1.190121923111111
support_std_c811,1.186328756111111
support_std_c149,1.1833556308888888
support_std_c484,1.1830755472222223
support_std_c22,1.1765443124444446
support_std_c108,1.1744427535555555
support_std_c925,1.1737224892222222
support_std_c664,1.1728384115555557
support_std_c197,1.1679361473333334
support_std_c876,1.1671351052222223
support_std_c632,1.1655364778888888
support_std_c485,1.162192472
support_std_c387,1.1604437553333335
support_std_c24,1.1551388978888888
support_std_c821,1.1536806567777778
support_std_c162,1.1471827465555555
support_std_c595,1.1447085951111111
support_std_c172,1.140397003777778
support_std_c971,1.1376476140777778
support_std_c551,1.1373952954777777
support_std_c792,1.1358534734444445
support_std_c425,1.1311473544444444
support_std_c557,1.1310523919999997
support_std_c326,1.1245955345555554
support_std_c444,1.1234990204444444
support_std_c378,1.1229361307777777
support_std_c96,1.117654679888889
support_std_c649,1.113009371111111
support_std_c8,1.112433469666667
support_std_c284,1.1116917846666667
support_std_c262,1.1107842870000002
support_std_c834,1.1096424073333333
support_std_c294,1.1082966435555555
support_std_c1021,1.1070626413333335
support_std_c446,1.1022824773333335
support_std_c227,1.1005419033333335
support_std_c601,1.099497401111111
support_std_c52,1.0990330192222222
support_std_c466,1.0984078484444444
support_std_c455,1.096627140777778
support_std_c880,1.0944316145555555
support_std_c193,1.0878047383333334
support_std_c210,1.0873638723333334
support_std_c630,1.0863624041666666
support_std_c1004,1.0858864592222222
support_std_c385,1.0857150266666669
support_std_c775,1.0827019301111112
support_std_c100,1.0823262406666667
support_std_c423,1.0818982672222224
support_std_c465,1.0811374432222225
support_std_c765,1.081013749888889
support_std_c717,1.0775207786222223
support_std_c940,1.0736628923333333
support_std_c61,1.0718168533333334
support_std_c401,1.0710707293333332
support_std_c264,1.0708668728888888
support_std_c901,1.0703573204444445
support_std_c481,1.0669191557777775
support_std_c152,1.0603123682222224
support_std_c759,1.0597913195555555
support_std_c539,1.0597013984444446
support_std_c160,1.0562664090333331
support_std_c219,1.0536748967777778
support_std_c895,1.050686469111111
support_std_c987,1.0494106627777777
support_std_c613,1.0482824358888887
support_std_c486,1.0463845433333332
support_std_c442,1.0449374057777778
support_std_c603,1.0383762392222222
support_std_c623,1.0365921127777777
support_std_c156,1.0330679995555556
support_std_c243,1.0290408538888889
support_std_c382,1.0286058296666667
support_std_c803,1.0282095445555557
support_std_c929,1.0236677333333333
support_std_c272,1.0228638852222223
support_std_c954,1.0210252254444445
support_std_c950,1.0199482494444447
support_std_c998,1.0175220707777777
support_std_c528,1.015155842777778
support_std_c361,1.011207759888889
support_std_c952,1.0061411671111111
support_std_c813,1.006054448111111
support_std_c144,1.0029360072222222
support_std_c451,1.0003441616666666
support_std_c360,1.0001964936666665
support_std_c202,0.9977476064444444
support_std_c583,0.9974978065555555
support_std_c728,0.9961872714444445
support_std_c829,0.9961732972222223
support_std_c62,0.9958640005555555
support_std_c577,0.9958291974444445
support_std_c279,0.9930720537777776
support_std_c336,0.9903286642222222
support_std_c582,0.9891687947777777
support_std_c712,0.9888065211111112
support_std_c758,0.9848253079066666
support_std_c997,0.9813163007777775
